trial_id,strategy,repeat_id,val_accuracy,train_loss,train_time_min,lora_rank,learning_rate,lora_targets,max_steps
367,optuna,7,0.392,0.8364622879028321,16.4,16,0.000281,medium,200
368,optuna,6,0.322,1.224945480823517,15.5,32,4.1e-05,minimal,200
369,optuna,7,0.324,1.3921959543228148,15.5,64,2e-05,minimal,200
370,optuna,6,0.42,0.6478212809562683,25.6,32,0.000317,medium,200
371,optuna,7,0.39,0.7246564459800721,24.9,32,9.5e-05,full,200
372,optuna,6,0.424,0.6350474166870117,25.3,32,0.000454,medium,200
373,optuna,7,0.382,0.8178033018112183,24.1,8,0.000172,minimal,200
374,optuna,6,0.404,0.6750579810142517,25.3,32,0.000173,medium,200
376,optuna,6,0.422,0.644981107711792,25.2,32,0.000494,medium,200
375,optuna,7,0.45,0.5517894756793976,46.7,32,0.00046,full,200
377,optuna,6,0.43,0.6156959247589111,28.7,32,0.000181,full,200
378,optuna,7,0.422,0.6547423958778381,28.7,32,0.000141,full,200
379,optuna,6,0.42,0.6567651772499085,28.8,16,0.000159,full,200
380,optuna,7,0.456,0.5534713697433472,46.6,32,0.000443,full,200
381,optuna,6,0.384,0.7283772993087768,40.5,8,0.000132,full,200
382,optuna,7,0.43,0.7066611528396607,46.5,32,5.2e-05,full,200
383,optuna,6,0.398,0.7073645448684692,29.0,32,3.7e-05,full,200
385,optuna,6,0.422,0.6459774112701416,28.8,32,0.00012,full,200
384,optuna,7,0.43,0.7265093517303467,47.5,32,5.5e-05,full,200
386,optuna,6,0.418,0.6513931035995484,41.1,32,0.000233,full,200
387,optuna,7,0.4,0.6534378600120544,38.5,32,0.000177,full,200
388,optuna,7,0.424,0.7424216675758362,45.7,4,0.000228,full,200
389,optuna,7,0.446,0.5551919960975646,45.8,32,0.000481,full,200
390,optuna,8,0.388,0.7906417274475097,19.1,8,0.000488,medium,200
391,optuna,9,0.344,1.0611054015159607,32.8,32,6e-05,minimal,200
392,optuna,8,0.338,1.1430439734458924,17.1,16,4.5e-05,minimal,200
393,optuna,9,0.392,0.7185564398765564,22.0,32,0.000286,medium,200
394,optuna,8,0.326,1.1419292759895325,19.8,16,2.5e-05,full,200
395,optuna,9,0.364,0.9471195244789123,19.7,8,0.000103,full,200
