trial_id	strategy	repeat_id	lora_rank	lora_alpha	learning_rate	batch_size	grad_accum_steps	warmup_ratio	weight_decay	lora_targets	max_steps	val_accuracy	val_closed_acc	val_open_acc	train_loss	train_time_min	peak_vram_mb	status	notes	agent_reasoning	phase	temperature
136	random	4	4	4	1.7e-05	1	8	0.0149	0.0122	medium	200	0.332	0.6393	0.0391	2.5968227767944336	21.0	12361.0	completed				0.0
137	random	5	8	16	4.3e-05	1	16	0.0069	0.0665	medium	200	0.318	0.6311	0.0195	1.1458327627182008	31.4	12386.1	completed				0.0
138	random	4	4	16	9.3e-05	4	4	0.0126	0.0227	medium	200	0.364	0.7049	0.0391	0.9252693891525269	18.1	12974.9	completed				0.0
139	random	5	16	16	0.000193	4	8	0.0754	0.0681	medium	200	0.396	0.7459	0.0625	0.9076720809936524	25.1	13036.7	completed				0.0
140	random	4	64	64	5.7e-05	2	8	0.0859	0.0021	medium	200	0.378	0.7213	0.0508	0.9254158639907837	22.6	13669.3	completed				0.0
141	random	5	32	128	1.5e-05	4	16	0.0155	0.0543	minimal	200	0.35	0.6762	0.0391	1.1138369584083556	37.9	13693.0	completed				0.0
142	random	4	4	16	5.2e-05	1	16	0.0836	0.0075	full	200	0.358	0.6967	0.0352	0.9660506296157837	37.6	14192.8	completed				0.0
143	random	5	32	128	8.2e-05	4	4	0.0702	0.0608	medium	200	0.396	0.7582	0.0508	0.7923920941352844	17.7	14235.4	completed				0.0
144	random	4	64	256	9.2e-05	2	8	0.0181	0.036	medium	200	0.398	0.7582	0.0547	0.6939260959625244	22.6	14865.3	completed				0.0
146	random	4	4	4	0.000128	1	16	0.0616	0.0712	medium	200	0.328	0.6557	0.0156	1.1790216040611268	32.0	15366.9	completed				0.0
145	random	5	64	256	3.1e-05	4	16	0.0234	0.0917	full	200	0.422	0.7869	0.0742	0.6667225813865661	46.7	15223.2	completed				0.0
148	random	5	16	64	0.000188	4	8	0.004	0.0409	full	200	0.412	0.7705	0.0703	0.6304239726066589	29.0	15516.0	completed				0.0
147	random	4	32	32	0.000187	2	16	0.05	0.0285	minimal	200	0.402	0.7541	0.0664	0.8746237540245057	32.1	16026.6	completed				0.0
149	random	5	8	16	5.4e-05	4	4	0.0536	0.006	full	200	0.362	0.7049	0.0352	0.9289130020141602	19.7	16017.8	completed				0.0
